id,title,description,slug,url,icon,help_index_title,help_index_content,help_create_title,help_create_content,help_edit_title,help_edit_content,list_order,is_hidden,parent_id,url_parent_id,roles
1,Dashboard,Dashboard,/,/admin,dashboard,,,,,,,1,0,0,0,2
2,Analytics,Google Analytics,analytics,/admin/analytics,line-chart,,,,,,,13,0,0,0,3
3,Summary,,,/admin/analytics,star-half-o,,,,,,,2,0,2,2,3
4,Devices,,devices,/admin/analytics/devices,tablet,,,,,,,1,0,2,2,3
5,Demographics,,demographics,/admin/analytics/demographics,female,,,,,,,4,0,2,2,3
6,Visits and Referrals,,visits-and-referrals,/admin/analytics/visits-and-referrals,cloud,,,,,,,5,0,2,2,3
7,Interests,,interests,/admin/analytics/interests,heart,,,,,,,3,0,2,2,3
8,Latest Activity,Latest Activity,latest-activity,/admin/latest-activity,history,,,,,,,2,0,0,0,4
9,Website,,website,/admin/latest-activity/website,home,,,,,,,1,0,8,8,4
10,Admin,Admin,admin,/admin/latest-activity/admin,lock,,,,,,,2,0,8,8,4
11,General,General Website,general,/admin/general,cubes,,,,,,,3,0,0,0,4
12,Banners,Banners,banners,/admin/general/banners,image,,,,,,,2,0,11,11,4
13,Pages,Pages,pages,/admin/pages,navicon,Help,All the menu items for the website.,Help,You can set the HTML Title and HTML Description.<br/>You can select the parent (under which navigation is this item).<br/>You can specify if the menu is hidden.,,,4,0,0,0,4
14,Navigation Order,Navigation Order,order,/admin/pages/order,list-ol,,,,,,,1,1,13,13,4
15,Accounts,Accounts,accounts,/admin/accounts,users,,,,,,,5,0,0,0,4
16,Clients,Clients,clients,/admin/accounts/clients,users,,,,,,,1,0,15,15,4
17,Administrators,,administrators,/admin/accounts/administrators,users,,,,,,,2,0,15,15,4
18,Admin Invites,,invites,/admin/accounts/administrators/invites,,,,,,,,1,1,17,17,4
19,Profile,,profile,/admin/profile,user,,,,,,,16,1,0,0,4
20,Settings,,settings,/admin/settings,cogs,,,,,,,15,0,0,0,4
21,Navigation,,navigation,/admin/settings/navigation,align-center,Help,Helpfull text here - explaining what u can do here...,Information,Please complete the form to create the navigation,,,4,0,20,20,4
22,Navigation Order,Navigation Order,order,/admin/settings/navigation/order,list-ol,,,,,,,1,1,21,21,4
23,Roles,Roles,roles,/admin/settings/roles,universal-access,,,,,,,1,0,20,20,4
24,Settings,Settings,settings,/admin/settings/settings,cog,,,,,,,2,0,20,20,4
25,Reports,,reports,/admin/reports,bar-chart,,,,,,,14,0,0,0,4
26,Summary,,summary,/admin/reports/summary,align-left,,,,,,,1,0,25,25,4
27,Contact Us,,contact-us,/admin/reports/contact-us,comments-o,,,,,,,2,0,25,25,4
28,Blog,Blog,blog,/admin/blog,newspaper-o,,,,,,,7,0,0,0,4
29,Articles,Articles,articles,/admin/blog/articles,newspaper-o,,,,,,,1,0,28,28,4
30,Categories,Categories,categories,/admin/blog/categories,cubes,,,,,,,2,0,28,28,4
31,News and Events,News and Events,news-and-events,/admin/news-and-events,newspaper-o,,,,,,,8,0,0,0,4
32,News and Events,News and Events,news,/admin/news-and-events/news,newspaper-o,,,,,,,2,0,31,31,4
33,Categories,Categories,categories,/admin/news-and-events/categories,cubes,,,,,,,1,0,31,31,4
34,Gallery,Images,photos,/admin/photos,image,,,,,,,6,0,0,0,4
35,Photos,Photos,,/admin/photos,image,,,,,,,2,0,34,34,4
36,Albums,Albums,albums,/admin/photos/albums,cubes,,,,,,,1,0,34,34,4
37,Newsletter,Newsletter,newsletter,/admin/newsletter,newspaper-o,,,,,,,11,0,0,0,4
38,Subscribers,Newsletter Subscribers,subscribers,/admin/newsletter/subscribers,users,,,,,,,1,0,37,37,4
39,Documents,Documents,documents,/admin/documents,files-o,,,,,,,12,0,0,0,4
40,Categories,Categories,categories,/admin/documents/categories,cubes,,,,,,,1,0,39,39,4
41,Documents,Documents,,/admin/documents,file-o,,,,,,,2,0,39,39,4
